"topic","term","beta"
1,"just",0.0291456313678317
1,"tonight",0.0257342888563054
1,"t",0.0244964721680009
1,"bottle",0.0234453579979478
1,"im",0.0191222608526819
1,"like",0.0190426318116882
1,"got",0.0167371674501624
1,"put",0.0146379048595591
1,"drunk",0.0142721772765114
1,"mom",0.0142641504597457
2,"mention",0.0656136949281427
2,"beer",0.0546753779397574
2,"drinking",0.0355487442643885
2,"url",0.0299846383507152
2,"im",0.0213615543718906
2,"time",0.0139976545252425
2,"bottle",0.0126950744843213
2,"pong",0.0125245484885066
2,"drunk",0.0120046002312035
2,"media",0.011526524931323
3,"drunk",0.081465918074267
3,"im",0.0243824158695674
3,"lmao",0.0200951650070372
3,"mention",0.0196387596180191
3,"party",0.017674033521265
3,"good",0.0165051899563889
3,"url",0.0154824811396994
3,"beer",0.0135431475854649
3,"people",0.0132537020883278
3,"amp",0.0131237992873373
4,"url",0.0605686427257248
4,"mention",0.0333952397221508
4,"wine",0.0270087644843926
4,"alcohol",0.0209832456554314
4,"ny",0.0175867020695043
4,"irish",0.017191722768312
4,"beer",0.0156917779195226
4,"pub",0.0145984501313381
4,"party",0.0137884642275624
4,"bar",0.0130242271954819
5,"mention",0.0462600000444133
5,"2",0.0437953525897139
5,"1",0.0184812405268572
5,"get",0.018260159104108
5,"6",0.0151821461162594
5,"last",0.0134309519984986
5,"ass",0.0114449939468647
5,"beer",0.0114412030297785
5,"man",0.0112809526174058
5,"shot",0.0109011582930572
6,"can",0.0440938145635637
6,"tonight",0.0264674048172151
6,"bar",0.0183571135795401
6,"url",0.0157084332230211
6,"drunk",0.0152571780668261
6,"media",0.0138906872417323
6,"home",0.0115280784189492
6,"12",0.0109383107713144
6,"bring",0.0105762832052359
6,"time",0.00968587822514868
7,"beer",0.0386964740094107
7,"drunk",0.033546616185209
7,"just",0.0229707056418116
7,"night",0.0211350770656488
7,"last",0.0205596902282052
7,"got",0.0184738207134724
7,"mention",0.0176552087070907
7,"alcohol",0.015877542457932
7,"hangover",0.0137076147154502
7,"like",0.0133644301991595
8,"mention",0.214413675177441
8,"drunk",0.0338024566138128
8,"best",0.0248738688494013
8,"beer",0.0113696658464043
8,"bar",0.0110024042690245
8,"url",0.0102923122955867
8,"im",0.0100599090571642
8,"now",0.00989487893903997
8,"just",0.0095625846847767
8,"good",0.00866169820196353
9,"url",0.0612999078725306
9,"pub",0.0447138675800997
9,"drinking",0.0443832498741033
9,"amp",0.0240332409485629
9,"brew",0.022321529093506
9,"wine",0.0171953088830931
9,"mention",0.0156385330168048
9,"ale",0.0147980821365971
9,"party",0.0122030641859321
9,"ny",0.0106801886934981
10,"beer",0.0594046530613615
10,"mention",0.040911818982057
10,"like",0.0298383687861045
10,"drunk",0.0259896159471999
10,"wine",0.0254192764500879
10,"im",0.0201165951412265
10,"drinking",0.0188876319908368
10,"url",0.0146423602621259
10,"party",0.0131715418719005
10,"getting",0.0116178241702839
11,"mention",0.0527371871576915
11,"wine",0.0525709228992647
11,"im",0.028654282771395
11,"url",0.0281534723328614
11,"s",0.0178464504773846
11,"drink",0.0157905485790208
11,"amp",0.0152156049890319
11,"bottle",0.0136018891679718
11,"day",0.0112488455143837
11,"night",0.0109510689682802
12,"drunk",0.0634834305395535
12,"im",0.0534800685177963
12,"liquor",0.0305104434504695
12,"get",0.0232978930749303
12,"time",0.0215918989877927
12,"vodka",0.021171461364618
12,"wine",0.0179097501824349
12,"shit",0.0144580814124552
12,"just",0.0122046577346692
12,"store",0.0116172825412333
13,"mention",0.029478017509305
13,"get",0.0289075329487153
13,"im",0.0285134850974959
13,"bar",0.0177855597680188
13,"think",0.0153019151291839
13,"go",0.0130557723104637
13,"feel",0.0126840055535233
13,"much",0.0118866318442789
13,"bottle",0.0118787851833597
13,"dont",0.0115803008322382
14,"drunk",0.084447860941493
14,"just",0.0247453393989878
14,"u",0.0222961377239039
14,"really",0.0177463425653768
14,"url",0.0136770221708004
14,"bar",0.01363771643578
14,"youre",0.0126196272259011
14,"drinking",0.0114278116033344
14,"perfect",0.0110744765819715
14,"alone",0.0103742245600103
15,"beer",0.0772050997091056
15,"get",0.0225579130955534
15,"day",0.0204900918216467
15,"good",0.0140225517977948
15,"need",0.0139502410490617
15,"bottle",0.0135875390697754
15,"cold",0.0134251079462231
15,"two",0.0130660446874149
15,"one",0.0129382383859593
15,"drunk",0.0104702288400044
16,"url",0.0452248435717933
16,"beer",0.0447450195936267
16,"wine",0.0256802062475631
16,"amp",0.0183723130026166
16,"drunk",0.0170379610581713
16,"media",0.0162170368769291
16,"party",0.0160736608292062
16,"im",0.0148649691380415
16,"mention",0.0136167236352741
16,"play",0.0130776460857403
17,"drunk",0.0659109196533537
17,"beer",0.0205153903283325
17,"night",0.0185823935960334
17,"url",0.0168835894845632
17,"wine",0.0167129150964057
17,"bar",0.0152804190036897
17,"ipa",0.0141275762272628
17,"eat",0.0135644385723036
17,"get",0.0109696454282674
17,"can",0.010812923125086
18,"drunk",0.059859071111201
18,"mention",0.0462096953667264
18,"get",0.0238796531880359
18,"just",0.0187219942993749
18,"bar",0.0183317558075798
18,"will",0.0175368780953743
18,"wine",0.0160372796169698
18,"friends",0.0154678948492179
18,"beer",0.0133939843063692
18,"media",0.0126599521222132
19,"mention",0.0604219661574052
19,"url",0.045578957581208
19,"drink",0.0209683850633305
19,"great",0.0185284971861988
19,"just",0.0167444288531658
19,"amp",0.0166664651163448
19,"wine",0.0131634278227353
19,"going",0.0124169542734884
19,"tomorrow",0.0101253080712441
19,"yet",0.00961574889131617
20,"mention",0.129789466010026
20,"beer",0.0560247937400731
20,"drunk",0.0340093066020546
20,"url",0.0225669297334138
20,"media",0.0197861950171015
20,"like",0.0180206656393205
20,"wine",0.0171475132166458
20,"amp",0.0147643573677451
20,"bar",0.0113810267222433
20,"us",0.0112710103737473
