"Técnica","F1","Precisão","Revocação"
"Calais",0.8921348,0.8961625,0.8881432
"Alchemy Entities",0.9005587,0.8995536,0.901566
"Alchemy KeyWords",0.8969422,0.9082569,0.885906
"Alchemy Categories",0.9155556,0.9094923,0.9217002
"2GRAM entidades Todas",0.8937143,0.9135514,0.8747204
"2GRAM Categorias + Hora + Erro ",0.904328018223235,0.921113689095128,0.888143176733781
"Alchemy Categories (Not NULL)",0.89261744966443,0.89261744966443,0.89261744966443
"Calais (Not NULL) - CENTER",0.89438202247191,0.898419864559819,0.890380313199105
"2GRAM Categorias + Hora + Erro (Not NULL) - CENTER",0.902004454342984,0.8980044345898,0.906040268456376
"Alchemy Concepts",0.896708286038593,0.910138248847926,0.883668903803132
"2GRAM Categorias + Hora + Erro (Not NULL)",0.889897843359818,0.903225806451613,0.876957494407159
"Alchemy KeyWords (Not NULL)",0.895454545454545,0.909930715935335,0.881431767337808
"Calais (Not NULL)",0.89337822671156,0.896396396396396,0.890380313199105
"Alchemy Entities (NOT NULL)",0.887882219705549,0.899082568807339,0.876957494407159
