"unigram","n"
"mention",637
"party",427
"shot",303
"url",300
"club",242
"risada",213
"fucked",207
"bar",136
"just",112
"turn",112
"amp",109
"get",109
"media",104
"like",90
"life",76
"ny",75
"got",71
"now",71
"bottle",69
"time",68
"one",62
"can",60
"new",59
"wasted",53
"day",50
"know",49
"rochester",49
"love",48
"today",48
"go",44
"shit",42
"tonight",42
"will",41
"b",40
"people",40
"going",39
"music",39
"good",38
"really",38
"video",38
"night",37
"1st",36
"country",36
"come",35
"june",35
"water",35
"2",34
"back",34
"need",34
"dinosaur",33
"j.clancy's",33
"releases",33
"titled",33
"w",33
"house",32
"right",32
"see",32
"directed",31
"lean",31
"que",31
"great",30
"u",30
"bad",29
"girl",29
"want",29
"birthday",27
"golf",27
"best",26
"last",26
"much",26
"even",25
"home",25
"man",25
"yak",25
"crown",24
"still",23
"ya",23
"fuck",22
"fucking",22
"gonna",22
"make",22
"think",22
"3",21
"beer",21
"bottles",21
"girls",21
"work",21
"7",20
"athletic",20
"ever",20
"every",20
"feel",20
"phone",20
"someone",20
"year",20
"ass",19
"getting",19
"others",19
"said",19
"syracuse",19
"wanna",19
"way",19
"bitches",18
"dance",18
"family",18
"game",18
"gt",18
"made",18
"never",18
"oh",18
"say",18
"take",18
"world",18
"bitch",17
"friend",17
"put",17
"turnt",17
"4",16
"always",16
"ball",16
"big",16
"join",16
"mad",16
"pretty",16
"show",16
"welcome",16
"better",15
"binge",15
"damn",15
"gets",15
"gotta",15
"hope",15
"let",15
"next",15
"end",14
"happy",14
"tho",14
"trying",14
"watching",14
"weekend",14
"yo",14
"5",13
"first",13
"grad",13
"hair",13
"hit",13
"little",13
"n",13
"real",13
"root",13
"screen",13
"two",13
"us",13
"well",13
"whole",13
"another",12
"baby",12
"bc",12
"food",12
"morning",12
"nice",12
"rt",12
"tomorrow",12
"turnup",12
"yeah",12
"anyone",11
"breakfast",11
"came",11
"crazy",11
"drunk",11
"everybody",11
"face",11
"geneseo",11
"give",11
"hate",11
"look",11
"lot",11
"money",11
"name",11
"niggas",11
"probably",11
"pub",11
"saturday",11
"school",11
"something",11
"thanks",11
"1",10
"24",10
"boys",10
"cause",10
"done",10
"eat",10
"friends",10
"grill",10
"guess",10
"hard",10
"job",10
"keep",10
"literally",10
"making",10
"nigga",10
"nothing",10
"open",10
"prom",10
"run",10
"strip",10
"talking",10
"thank",10
"thought",10
"times",10
"wait",10
"working",10
"wow",10
"yes",10
"yesterday",10
"10",9
"100",9
"actually",9
"ask",9
"away",9
"bout",9
"cap",9
"check",9
"coming",9
"cream",9
"dad",9
"dont",9
"dream",9
"everyone",9
"fight",9
"finally",9
"fun",9
