"Baseline","F1","Precisão","Revocação"
"3 Gram + 25% + Bow #",0.870912220309811,0.824104234527687,0.923357664233577
"3 Gram + 25% + Bow # (5)",0.86541737649063,0.811501597444089,0.927007299270073
"3 Gram + 25% + Bow #",0.870912220309811,0.824104234527687,0.923357664233577
"3 Gram + 25% + Bow # (5)",0.868965517241379,0.823529411764706,0.91970802919708
"3 Gram + 25% + Bow #",0.855123674911661,0.828767123287671,0.883211678832117
"3 Gram + 25% + Bow # (5)",0.847222222222222,0.80794701986755,0.89051094890511
"3 Gram + 25% + Bow #",0.873920552677029,0.829508196721311,0.923357664233577
"3 Gram + 25% + Bow # (5)",0.868651488616462,0.835016835016835,0.905109489051095
"3 Gram + 25% + Bow #",0.862676056338028,0.833333333333333,0.894160583941606
"3 Gram + 25% + Bow # (5)",0.857632933104631,0.809061488673139,0.912408759124088
