"Baseline","F1","Precisão","Revocação"
"3 GRAM 25",0.890380313199105,0.890380313199105,0.890380313199105
"2 Gram + Entidades + Hora + Erro",0.907675194660734,0.902654867256637,0.912751677852349
"3 GRAM 25 Q2",0.695340501792115,0.683098591549296,0.708029197080292
"2 Gram + Entidades + Hora + Erro Q2",0.75,0.69811320754717,0.81021897810219
"3 GRAM 25 Q3",0.607287449392713,0.641025641025641,0.576923076923077
"2 Gram + Entidades + Hora + Erro Q3",0.650406504065041,0.689655172413793,0.615384615384615
"3 GRAM 25 Q2 (Not Null)",0.825622775800712,0.805555555555556,0.846715328467153
"2 Gram + Entidades + Hora + Erro Q2 (Not Null)",0.877551020408163,0.821656050955414,0.941605839416058
"3 GRAM 25 Q3 (Not Null)",0.764705882352941,0.732394366197183,0.8
"2 Gram + Entidades + Hora + Erro Q3 (Not Null)",0.801418439716312,0.743421052631579,0.869230769230769
"3 GRAM 25 Not Null",0.588235294117647,0.554455445544555,0.626398210290828
"2 Gram + Entidades + Hora + Erro (Not Null)",0.910299003322259,0.901315789473684,0.919463087248322
"3 GRAM 25 Not Null",0.893095768374165,0.889135254988914,0.897091722595078
