"Baseline","F1","Precisão","Revocação"
"2Gram",0.881087202718007,0.892201834862385,0.870246085011186
"2GRAM 25%",0.898096304591265,0.899103139013453,0.897091722595078
"2GRAM entidades",0.901785714285714,0.89977728285078,0.903803131991051
"2 Gram DBPedia Resource",0.878270762229807,0.893518518518518,0.863534675615213
"2 Gram dbpedia types page rank",0.874861572535991,0.866228070175439,0.883668903803132
"2 Gram dbpedia types (todos)",0.858757062146893,0.867579908675799,0.850111856823266
"2 Gram 25% + entidades",0.88361581920904,0.892694063926941,0.874720357941834
"2 Gram + 25% + local",0.896781354051054,0.889867841409692,0.903803131991051
"2 Gram + 25% + Categoria da localização",0.87816091954023,0.903073286052009,0.854586129753915
"2 Gram + Entidades + Hora",0.907865168539326,0.91196388261851,0.903803131991051
"3 Gram",0.895388076490439,0.900452488687783,0.890380313199105
"2 Gram Wikipedia",0.865470852017937,0.867415730337079,0.863534675615213
"3GRAM 25",0.890380313199105,0.890380313199105,0.890380313199105
"2 Gram + subject",0.862967157417894,0.873853211009174,0.852348993288591
"2 Gram + Erros",0.900780379041249,0.897777777777778,0.903803131991051
"2 Gram + Dia Semana",0.896860986547085,0.898876404494382,0.894854586129754
"2 Gram + Entidades + Hora",0.90929203539823,0.899343544857768,0.919463087248322
"2 Gram + Entidades + Hora + Erro",0.90929203539823,0.899343544857768,0.919463087248322
"2 Gram + Palavroes",0.896629213483146,0.900677200902935,0.89261744966443
