"unigram","n"
"mention",731
"drunk",532
"beer",409
"url",376
"risada",309
"wine",270
"get",179
"just",166
"bar",165
"drinking",164
"amp",138
"like",129
"media",122
"party",120
"night",108
"alcohol",99
"drink",95
"pub",88
"good",86
"bottle",83
"can",80
"time",78
"tonight",76
"day",69
"getting",69
"now",68
"got",63
"need",63
"one",61
"last",60
"want",57
"go",56
"tequila",54
"love",53
"people",51
"shot",51
"vodka",50
"still",48
"w",48
"whiskey",48
"liquor",47
"think",45
"ny",44
"right",44
"shit",44
"going",42
"take",42
"better",40
"brew",40
"come",40
"really",40
"2",39
"fuck",39
"mom",39
"much",39
"know",38
"rochester",38
"wanna",38
"life",37
"great",36
"house",36
"best",34
"work",34
"hangover",33
"ever",32
"fucked",32
"u",32
"bottles",31
"food",31
"home",31
"im",30
"weekend",30
"back",29
"girl",29
"make",29
"summer",29
"wasted",29
"friends",28
"gonna",28
"today",28
"first",27
"glass",27
"will",27
"ale",26
"ass",26
"feel",26
"happy",26
"never",26
"real",26
"tour",26
"us",26
"way",26
"booze",25
"even",25
"light",25
"alcoholic",24
"always",24
"cold",24
"someone",24
"tasting",24
"3",23
"thing",23
"world",23
"dad",22
"drinks",22
"irish",22
"turn",22
"birthday",21
"friend",21
"fucking",21
"hammered",21
"see",21
"1",20
"bad",20
"dinner",20
"everyone",20
"guy",20
"ipa",20
"others",20
"well",20
"bitch",19
"buy",19
"champagne",19
"guys",19
"old",19
"said",19
"since",19
"tomorrow",19
"wait",19
"college",18
"every",18
"game",18
"yet",18
"4",17
"bed",17
"bud",17
"days",17
"grill",17
"high",17
"made",17
"morning",17
"new",17
"nice",17
"oh",17
"remember",17
"week",17
"went",17
"6",16
"big",16
"club",16
"eat",16
"fun",16
"girls",16
"lake",16
"put",16
"red",16
"rum",16
"year",16
"gt",15
"little",15
"money",15
"perfect",15
"play",15
"ready",15
"tell",15
"two",15
"watch",15
"watching",15
"weed",15
"brewing",14
"crawl",14
"gets",14
"gotta",14
"guess",14
"ice",14
"nothing",14
"pong",14
"start",14
"together",14
"wish",14
"yeah",14
"8",13
"anyone",13
"bought",13
"country",13
"done",13
"drank",13
"enough",13
"everything",13
"hell",13
"hit",13
"hot",13
"long",13
"look",13
"lt",13
"man",13
"n",13
"o",13
"probably",13
"shots",13
"sip",13
"sleep",13
"sober",13
"store",13
"syracuse",13
"tipsy",13
"wants",13
"water",13
