Categoria,Total
"American Restaurant",309
"College & University",287
Pub,262
"Bar & Grill",238
"Apartment & Condo Building",118
Hotel,107
"Religious Organization",104
Bar,95
"Gym/Physical Fitness Center",95
Brewery,95
"Public School",95
"Sports Bar",94
City,94
"Nonprofit Organization",89
Winery/Vineyard,85
"Grocery Store",84
"Italian Restaurant",76
Park,74
"Sports & Recreation",71
"Government Organization",70
"Elementary School",67
Neighborhood,67
"New American Restaurant",66
"High School",58
Restaurant,57
"Burger Restaurant",57
"Hair Salon",56
Education,54
"Coffee Shop",54
"Barbecue Restaurant",53
"Fast Food Restaurant",52
"Shopping & Retail",47
"Local Business",46
"Medical School",45
School,44
Photographer,43
"Real Estate",42
Residence,41
"Pizza Place",40
Playground,40
"Arts & Entertainment",40
"Stadium, Arena & Sports Venue",39
Dorm,38
"Medical & Health",37
Hospital,37
"Business Service",36
"Breakfast & Brunch Restaurant",36
Library,34
"Shopping Mall",32
"Golf Course & Country Club",31
"Ice Cream Shop",31
"Performance & Event Venue",30
"Irish Restaurant",30
"Car Dealership",28
"Gas Station",27
Diner,26
"Event Planner",26
"Hot Dog Joint",26
Veterinarian,24
"Family Style Restaurant",23
"Religious Center",23
"Real Estate Service",23
"Mexican Restaurant",22
"E-commerce Website",22
"Public Service",22
"Public & Government Service",22
"Landmark & Historical Place",22
Airport,21
"Private School",20
Karaoke,20
"Home Improvement",20
"Day Care",20
"Gift Shop",20
"Greek Restaurant",20
"Sports Club",20
"Beauty, Cosmetic & Personal Care",20
"Catholic Church",17
"Home Improvement Service",17
Festival,16
Farm,16
"Art Gallery",16
"Hiking Trail",16
"Nursing Home",15
"Home Decor",15
"Sushi Restaurant",14
"Fire Station",14
Deli,14
"Beer Bar",14
"Tapas Bar & Restaurant",14
Cemetery,13
Highway,13
"Barber Shop",13
Church,13
Contractor,13
"Landscape Company",13
Lake,12
"Women's Clothing Store",12
"Cocktail Bar",12
"Massage Service",12
Beach,12
"Cupcake Shop",12
Doctor,11
"Methodist Church",11
Organization,11
"Gay Bar",11
"Pet Service",11
"Nail Salon",11
"Convenience Store",10
"Performance Art Theatre",10
"Bed and Breakfast",10
Region,10
"Sorority & Fraternity",10
"Specialty School",10
"Professional Service",10
"Moving Supply Store",10
Zoo,10
"Social Club",10
"Emergency Rescue Service",10
Community,10
Chiropractor,10
"Movie Theater",10
"Seafood Restaurant",10
"Community Organization",9
"Martial Arts School",9
Steakhouse,9
"Automotive Repair Shop",9
"Live Music Venue",9
"Musical Instrument Store",9
Casino,9
"Caribbean Restaurant",9
"Horseback Riding Center",8
Lounge,8
"Wine, Beer & Spirits Store",8
"History Museum",8
"Tanning Salon",8
"Construction Company",8
"Baptist Church",8
"Public Square / Plaza",8
Event,8
"Personal Trainer",8
"Horse Trainer",8
"Sports League",8
"Tattoo & Piercing Shop",7
"Charity Organization",7
"Hotel Resort",7
Company,7
"Dive Bar",7
"Physical Therapist",7
"House Painting",7
"Health Food Store",7
"Vietnamese Restaurant",7
"Computer Repair Service",7
"Bus Station",7
"Ice Skating Rink",6
"City Hall",6
"Retirement & Assisted Living Facility",6
"Religious Place of Worship",6
"Wine Bar",6
Street,6
"Medical Research Center",6
"Garden Center",6
"Recreation Center",6
Fairground,6
"Dentist & Dental Office",6
"Transportation Service",6
"Christian Church",6
Campground,6
Gastropub,6
Inn,6
"Swimming Pool & Hot Tub Service",6
"Sandwich Shop",6
"Beauty Salon",5
"Community Center",5
"Printing Service",5
"Social Service",5
"Travel & Transportation",5
"Department Store",5
"Motor Vehicle Company",5
Cafe,5
"Dance Studio",5
Caterer,5
"Advertising Agency",5
Marina,5
"Broadcasting & Media Production Company",5
"Episcopal Church",4
"Pet Store",4
"Amusement & Theme Park",4
"Medical Center",4
"European Restaurant",4
"Campus Building",4
Locality,4
Oncologist,4
"Reproductive Service",4
"Carpet Cleaner",4
"Funeral Service & Cemetery",4
"Bowling Alley",4
